stock_code,company_name,market,bankruptcy,delisted_check,delisted_date
008670,굿모닝신한증권,Y,0,1,2005-01-05
005600,중앙제지,Y,1,1,2005-01-06
035780,그로웰텔레콤,K,0,1,2005-01-11
035910,현대멀티캡,K,1,1,2005-01-19
009220,그로웰전자,K,0,1,2005-01-19
037640,대경테크노스,K,1,1,2005-01-24
007910,세원화성,Y,0,1,2005-02-24
025690,동방라이텍,K,1,1,2005-03-12
054080,우주통신,K,1,1,2005-03-30
004660,신동방CP,Y,0,1,2005-03-30
036880,맥시스템,K,1,1,2005-03-31
053250,엔에스아이,K,1,1,2005-04-02
036600,지니웍스,K,1,1,2005-04-02
036020,한아시스템,K,1,1,2005-04-02
056500,슈마일렉트론,K,1,1,2005-04-05
037650,성진산업,K,1,1,2005-04-05
018180,텔슨정보통신,K,1,1,2005-04-07
038100,아이엠아이티,K,1,1,2005-04-08
006150,한메NS,Y,1,1,2005-04-08
037220,넥스텔,K,1,1,2005-04-09
054370,업필,K,1,1,2005-04-12
042960,창민테크,K,1,1,2005-04-13
006750,센추리,Y,1,1,2005-04-14
012250,셰프라인,Y,1,1,2005-04-15
009360,베네데스하이텍,Y,1,1,2005-04-15
036590,케이엔티,K,1,1,2005-04-16
009760,한국컴퓨터지주,Y,0,1,2005-04-19
049130,하우리,K,1,1,2005-04-20
036820,BET,K,1,1,2005-04-21
032610,에스오케이,K,1,1,2005-04-21
009890,맥슨텔레콤,Y,1,1,2005-04-21
000110,제일은행,Y,0,1,2005-04-22
036900,택산아이엔씨,K,1,1,2005-04-23
044440,솔빛미디어,K,1,1,2005-04-26
032050,후야인포넷,K,1,1,2005-04-26
009940,대아리드선,Y,1,1,2005-04-28
008120,모토조이,Y,1,1,2005-04-28
001670,경남모직,Y,1,1,2005-04-28
046810,코리언일랙트로닉스,K,1,1,2005-04-30
030950,보진재,K,1,1,2005-04-30
033220,남성알미늄,K,0,1,2005-05-04
002480,범양사,K,0,1,2005-05-04
038960,현주컴퓨터,K,1,1,2005-05-11
032180,이수세라믹,K,0,1,2005-05-25
008030,아이텍스필,K,1,1,2005-06-02
008270,산은캐피탈,Y,0,1,2005-06-16
006250,극동전선,Y,0,1,2005-07-18
001580,신광기업,Y,1,1,2005-08-05
055810,KTC텔레콤,K,1,1,2005-08-13
009080,퍼시픽글라스,Y,0,1,2005-08-17
038980,이지클럽,K,1,1,2005-09-10
021570,알루코,K,1,1,2005-10-13
057110,아이티센,K,1,1,2005-10-22
039870,피케이엘,K,1,1,2005-11-09
002860,하나은행,Y,0,1,2005-12-12
019560,한국파트너스,K,0,1,2005-12-24
014010,인터피온반도체,Y,1,1,2005-12-28
023420,유진종합개발,K,0,1,2005-12-31
056060,세니콘,K,1,1,2006-04-08
039110,에스피컴텍,K,1,1,2006-04-15
049370,CJ엔터테인,K,0,1,2006-04-20
066480,휘튼,K,1,1,2006-04-25
041500,대한바이오,K,1,1,2006-04-25
047420,레이더스컴퍼니,K,1,1,2006-07-13
016970,씨크롭,Y,1,1,2006-07-13
063510,코오롱인터내셔널,Y,0,1,2006-07-21
048760,브이케이,K,1,1,2006-07-22
003330,하나증권,Y,0,1,2006-10-26
003040,한일약품공업,Y,0,1,2006-11-21
006600,동신제약,Y,0,1,2006-11-22
037060,시큐어소프트,K,1,1,2007-04-04
054250,예일바이오텍,K,1,1,2007-04-11
054440,엠텍반도체,K,1,1,2007-04-13
054790,제이엠피,K,1,1,2007-04-24
063350,팬택앤큐리텔,Y,1,1,2007-04-25
025930,팬택,Y,1,1,2007-04-25
025830,한국합섬,Y,1,1,2007-04-25
014900,삼보컴퓨터,Y,1,1,2007-04-25
045310,이레전자산업,K,1,1,2007-05-08
001830,동부일렉트로닉스,Y,0,1,2007-05-21
011020,코오롱유화,Y,0,1,2007-06-15
005330,카스코,Y,0,1,2007-06-20
038420,씨엔씨엔터,K,1,1,2007-08-29
015670,AP우주통신,Y,1,1,2007-09-12
032710,LG카드,Y,0,1,2007-10-10
012990,LG석유화학,Y,0,1,2007-11-15
012460,우영,K,1,1,2008-03-13
058680,오브제,K,0,1,2008-04-10
066330,시큐리티KOR,K,1,1,2008-04-12
064720,모델라인,K,1,1,2008-04-12
042570,퓨쳐비젼,K,1,1,2008-04-12
032590,엔토리노,K,1,1,2008-04-12
065810,UC아이콜스,K,1,1,2008-04-17
004530,에스와이,Y,1,1,2008-04-22
057330,플래닛82,K,1,1,2008-04-23
041940,한텔,K,1,1,2008-04-23
035270,청람디지탈,K,0,1,2008-04-23
060660,한도하이테크,K,1,1,2008-05-03
055970,에너윈,K,1,1,2008-05-03
044370,조이토토,K,1,1,2008-05-03
033330,두림티앤씨,K,1,1,2008-05-03
045760,한통데이타,K,1,1,2008-06-13
034750,디씨씨,K,0,1,2008-07-12
003660,고려시멘트,Y,0,1,2008-08-20
060410,베스트플로우,K,1,1,2008-08-25
050600,세라온,K,1,1,2008-09-09
060000,국민은행,Y,0,1,2008-10-10
039060,아이비진,K,1,1,2008-12-20
072430,아이레보,K,0,1,2009-02-03
007640,HK저축은행,K,0,1,2009-02-03
005760,위너스인프라인,Y,1,1,2009-02-19
079870,산양전기,K,1,1,2009-04-11
078610,도움,K,1,1,2009-04-11
073780,케이디세코,K,1,1,2009-04-11
066200,이노블루,K,1,1,2009-04-11
060550,우수씨엔에스,K,1,1,2009-04-11
053890,미디어코프,K,1,1,2009-04-11
047370,에프아이투어,K,1,1,2009-04-11
038810,포이보스,K,1,1,2009-04-11
016040,디에스피,K,1,1,2009-04-11
103160,풀무원,Y,0,1,2009-04-13
007050,유리이에스,Y,1,1,2009-04-15
065910,PW제네틱스,K,1,1,2009-04-18
016890,대웅바이오,K,0,1,2009-04-20
076170,GBS,Y,1,1,2009-04-22
052310,H1바이오,K,1,1,2009-04-23
041310,모빌링크,K,1,1,2009-04-23
038410,트라이콤,K,0,1,2009-04-23
036760,KNS홀딩스,K,1,1,2009-04-23
019640,희훈디앤지,K,1,1,2009-04-23
036280,뉴켐진스템셀,K,1,1,2009-04-24
001190,마이크로닉스,Y,0,1,2009-04-27
081500,엑스씨이,K,1,1,2009-04-29
080570,IC코퍼레이션,K,1,1,2009-04-29
077960,케이이엔지,K,1,1,2009-04-29
071360,나노하이텍,K,1,1,2009-04-29
056020,쿨투,K,1,1,2009-04-29
036360,3SOFT,K,1,1,2009-04-29
026230,IDH,K,1,1,2009-04-29
025460,팬텀엔터그룹,K,1,1,2009-04-29
053170,코스모스피엘씨,K,1,1,2009-04-30
004230,세신,Y,1,1,2009-04-30
003990,BHK,Y,1,1,2009-04-30
048270,포넷,K,1,1,2009-05-04
013200,씨앤우방,Y,1,1,2009-05-13
009690,케이엠에이치,Y,1,1,2009-05-13
008400,C&중공업,Y,1,1,2009-05-13
006070,기린,Y,1,1,2009-05-13
001970,신성건설,Y,1,1,2009-05-13
000790,씨앤상선,Y,1,1,2009-05-13
036790,자강,K,1,1,2009-05-15
033720,블루스톤,K,1,1,2009-05-15
059720,야호,K,1,1,2009-05-27
040020,사라콤,K,1,1,2009-05-27
038920,지이엔에프,K,1,1,2009-05-29
053070,트리니티,K,1,1,2009-06-03
039990,코아정보,K,1,1,2009-06-10
036610,지디코프,K,1,1,2009-06-17
036270,헤쎄나,K,1,1,2009-06-17
032390,KTF,Y,1,1,2009-06-23
079340,하이럭스,K,1,1,2009-06-24
052560,삼성수산,K,1,1,2009-07-01
031800,ST&I,K,1,1,2009-07-01
063280,사이버패스,K,1,1,2009-07-08
006210,휴리프,Y,1,1,2009-07-15
042100,현대오토넷,Y,0,1,2009-07-16
016990,LG마이크론,K,0,1,2009-07-16
038830,케이엠에스,K,1,1,2009-08-08
001370,FNC코오롱,Y,0,1,2009-08-17
035950,케이알,K,1,1,2009-08-21
044070,한서제약,K,0,1,2009-08-25
046320,MTRON,K,1,1,2009-08-28
054650,뉴젠비아이티,K,0,1,2009-09-04
035500,써니트렌드,K,1,1,2009-09-04
033880,블루멈,K,1,1,2009-09-04
058550,네오리소스,K,1,1,2009-09-15
032570,카라반케이디이,K,1,1,2009-09-18
073710,씨디네트웍스,K,0,1,2009-09-23
066850,아이드림,K,1,1,2009-10-07
052640,제네시스,K,1,1,2009-10-07
044770,에이엠에스,K,1,1,2009-10-07
076850,맥쿼리센트럴,Y,0,1,2009-10-09
001950,남한제지,Y,1,1,2009-10-15
051530,굿이엠지,K,1,1,2009-11-03
035010,소예,K,1,1,2009-11-03
014420,프로비타,K,1,1,2009-11-06
036660,플러스프로핏,K,1,1,2009-11-20
085680,모빌탑,K,1,1,2009-11-25
045380,더존디지털,K,0,1,2009-12-09
062730,케너텍,K,1,1,2009-12-23
045820,LG파워콤,Y,0,1,2010-01-15
015940,LG데이콤,Y,0,1,2010-01-15
000610,제일화재해상보험,Y,0,1,2010-01-20
047940,비엔디,K,1,1,2010-01-29
080140,디보스,K,1,1,2010-02-02
037830,글로포스트,K,1,1,2010-02-09
045400,이롬텍,K,1,1,2010-02-11
067950,티이씨,K,1,1,2010-02-20
031960,동산진흥,K,1,1,2010-02-20
078700,신지소프트,K,0,1,2010-02-27
056850,코어비트,K,1,1,2010-03-09
041800,코디콤,K,1,1,2010-03-09
015050,비전하이테크,K,1,1,2010-03-09
008320,한국기술산업,Y,1,1,2010-03-11
017010,제너비오믹스,K,1,1,2010-03-26
084810,아이알디,K,1,1,2010-04-01
054020,GK파워,K,1,1,2010-04-03
017050,스타맥스,K,1,1,2010-04-05
045880,유티엑스,K,1,1,2010-04-10
079560,모젬,K,0,1,2010-04-13
064060,사이노젠,K,1,1,2010-04-13
060670,유퍼트,K,1,1,2010-04-13
051810,모보,K,0,1,2010-04-13
046350,에듀아크,K,0,1,2010-04-13
032030,일공공일안경,K,1,1,2010-04-13
015170,중앙바이오텍,K,1,1,2010-04-13
008340,코레스,K,1,1,2010-04-13
108070,삼성디지털이미징,Y,0,1,2010-04-14
065340,쓰리디월드,K,1,1,2010-04-15
034660,제넥셀,K,1,1,2010-04-15
017300,에이치비이에너지,Y,1,1,2010-04-15
004820,조인에너지,Y,1,1,2010-04-15
001600,서광건설산업,Y,1,1,2010-04-15
038690,에이스일렉,K,1,1,2010-04-17
033260,쌈지,K,1,1,2010-04-17
048130,에스피코프,K,1,1,2010-04-20
053440,성우몰드,K,0,1,2010-04-21
012420,메리츠종금,Y,0,1,2010-04-21
076090,테이크시스템,K,1,1,2010-04-23
045290,포네이처,K,1,1,2010-04-23
033190,폴켐,K,1,1,2010-04-23
002540,고제,Y,1,1,2010-04-23
078670,아구스,K,1,1,2010-05-01
037110,JS,K,1,1,2010-05-01
035710,CL,K,1,1,2010-05-01
020070,에버리소스,K,1,1,2010-05-01
